Dominio;Expenditure;Nd
idStrt001;296,5;990
idStrt002;346,19;1226
idStrt003;300,35;730
idStrt004;431,61;1232
idStrt005;270,95;1128
idStrt006;327,84;404
idStrt007;242,99;1220
idStrt008;302,32;732
idStrt009;207,87;886
idStrt010;386,85;794
idStrt011;338,09;990
idStrt012;382,26;564
idStrt013;293,97;1648
idStrt014;386,87;396
idStrt015;312,47;882
idStrt016;368,8;1002
idStrt017;271,57;2820
idStrt018;375,88;1086
idStrt019;249,53;330
idStrt020;431,68;1386
idStrt021;223,59;1638
idStrt022;406,15;1322
idStrt023;260,08;1176
idStrt024;378,79;814
idStrt025;325,05;1542
idStrt026;478,62;430
idStrt027;317,3;868
idStrt028;351,5;1456
idStrt029;276,68;370
idStrt030;435,65;1144
idStrt031;283,52;842
idStrt032;504,88;1036
idStrt033;272,36;776
idStrt034;428;1372
idStrt035;409,14;784
idStrt036;481,29;1068
idStrt037;291,07;2678
idStrt038;411,1;1806
idStrt039;1038,4;1116
idStrt040;331,91;818
idStrt041;408,73;1378
idStrt042;424,47;350
idStrt043;436,24;1936
idStrt044;330,28;676
idStrt045;366,68;1096
idStrt046;329,27;302
idStrt047;714,03;1110
idStrt048;325,84;944
idStrt049;489,58;1312
idStrt050;276,32;604
idStrt051;492,38;1166
idStrt052;321,57;1384
idStrt053;416,89;1146
idStrt054;398,07;1562
idStrt055;553,91;1574
idStrt056;498,11;1358
idStrt057;498,68;1274
idStrt058;600,78;1566
idStrt059;291,14;790
idStrt060;470,7;728
idStrt061;394,07;1334
idStrt062;496,54;894
idStrt063;553,29;1962
idStrt064;346;324
idStrt065;469,02;1564
idStrt066;633,44;1160
idStrt067;445,53;392
idStrt068;424,69;1166
idStrt069;507,14;1098
idStrt070;324,77;780
idStrt071;374,37;806
idStrt072;344,22;440
idStrt073;501,37;1074
idStrt074;311,63;1106
idStrt075;390,16;2116
idStrt076;350,71;344
idStrt077;499,23;1688
idStrt078;330,08;3006
idStrt079;417,92;1952
idStrt080;328,73;812
idStrt081;401,44;920
idStrt082;300,05;1414
idStrt083;393,15;698
idStrt084;245,7;730
idStrt085;452,64;1304
idStrt086;286,08;1438
idStrt087;366,89;1656
idStrt088;301,04;2524
idStrt089;473,16;1500
idStrt090;242,47;2218
idStrt091;451,14;1254
idStrt092;253,38;2640
idStrt093;358,18;854
idStrt094;252,1;776
idStrt095;411,33;1404
idStrt096;278,09;2124
idStrt097;311,41;1432
idStrt098;237,58;1146
idStrt099;306,48;914
idStrt100;267;806
idStrt101;399,67;1104
idStrt102;292,43;1340
idStrt103;387,74;1142
idStrt104;287,18;1576
idStrt105;409,34;764
idStrt106;321,16;466
idStrt107;604,2;1394
idStrt108;279,09;3488
idStrt109;349,58;1470
idStrt110;344,91;670
idStrt111;516,24;1268
idStrt112;262,55;5850
idStrt113;411,52;2096
idStrt114;318,3;1098
idStrt115;590,92;892
idStrt116;307,48;854
idStrt117;491,93;1156
idStrt118;294,13;4240
idStrt119;441,36;1870
