hh,Nh,nh
1,488,23
2,524,25
3,586,28
4,563,27
5,596,29
6,575,28
7,623,30
8,594,29
9,603,29
10,557,27
11,590,28
12,550,26
13,427,21
14,590,28
15,556,27
16,550,26
17,566,27
18,549,26
19,520,25
20,540,26
21,477,23
22,559,27
23,504,24
24,446,21
25,424,20
26,434,21
27,437,21
28,466,22
29,484,23
30,492,24
31,509,24
32,502,24
33,525,25
34,481,23
35,427,21
36,523,25
37,499,24
38,550,26
39,577,28
40,518,25
41,612,29
42,603,29
43,643,31
44,654,31
45,599,29
46,530,25
47,526,25
48,671,32
49,689,33
50,463,22
51,446,21
52,554,27
53,635,30
54,480,23
55,474,23
56,555,27
57,529,25
58,520,25
59,627,30
60,459,22
61,617,30
62,559,27
63,515,25
64,561,27
65,513,25
66,473,23
67,483,23
68,443,21
69,602,29
70,574,28
71,647,31
72,627,30
73,633,30
74,552,27
75,461,22
76,512,25
77,456,22
78,467,22
79,483,23
80,478,23
81,529,25
82,537,26
83,453,22
84,568,27
85,419,20
86,539,26
87,547,26
88,554,27
89,450,22
90,646,31
91,559,27
92,652,31
93,534,26
94,517,25
95,570,27
96,476,23
97,518,25
98,467,22
99,535,26
100,599,29
101,563,27
102,505,24
103,535,26
104,560,27
105,489,23
106,487,23
107,452,22
108,556,27
109,449,22
110,474,23
111,503,24
112,379,18
113,606,29
114,501,24
115,455,22
116,536,26
117,518,25
118,450,22
119,539,26
120,528,25
121,459,22
122,443,21
123,517,25
124,535,26
125,421,20
126,553,27
127,418,20
128,527,25
129,443,21
130,444,21
131,460,22
132,498,24
133,399,19
134,478,23
135,419,20
136,445,21
137,431,21
138,450,22
139,484,23
140,464,22
141,463,22
142,429,21
143,468,22
144,553,27
145,480,23
146,423,20
147,582,28
148,472,23
149,572,27
150,382,18
151,481,23
152,487,23
153,488,23
154,523,25
155,405,19
156,508,24
157,404,19
158,389,19
159,527,25
160,480,23
161,580,28
162,435,21
163,447,21
164,409,20
165,487,23
166,504,24
167,474,23
168,567,27
169,504,24
170,561,27
171,526,25
172,501,24
173,470,23
174,468,22
175,402,19
176,531,25
177,502,24
178,456,22
179,516,25
180,446,21
181,488,23
182,505,24
183,463,22
184,576,28
185,562,27
186,530,25
187,507,24
188,554,27
189,459,22
190,616,30
191,387,19
192,605,29
193,629,30
194,488,23
195,609,29
196,605,29
197,548,26
198,556,27
199,506,24
200,537,26
201,565,27
202,585,28
203,506,24
204,565,27
205,554,27
206,531,25
207,487,23
208,566,27
209,509,24
210,501,24
211,484,23
212,477,23
213,471,23
214,467,22
215,458,22
216,469,23
217,527,25
218,505,24
219,479,23
220,577,28
221,535,26
222,559,27
223,462,22
224,461,22
225,475,23
226,589,28
227,595,29
228,528,25
229,578,28
230,498,24
231,474,23
232,546,26
233,526,25
234,543,26
235,564,27
236,445,21
237,517,25
238,505,24
239,524,25
240,613,29
241,668,32
242,871,42
243,758,36
244,590,28
245,673,32
246,662,32
247,492,24
248,562,27
249,503,24
250,530,25
251,495,24
252,550,26
253,473,23
254,453,22
255,540,26
256,413,20
257,530,25
258,493,24
259,480,23
260,523,25
261,499,24
262,536,26
263,485,23
264,530,25
265,576,28
266,460,22
267,522,25
268,494,24
269,515,25
270,503,24
271,516,25
272,487,23
273,485,23
274,456,22
275,537,26
276,438,21
277,541,26
278,549,26
279,585,28
280,473,23
281,560,27
282,566,27
283,613,29
284,566,27
285,548,26
286,521,25
287,534,26
288,537,26
289,502,24
290,546,26
291,541,26
292,492,24
293,488,23
294,584,28
295,584,28
296,500,24
297,577,28
298,749,36
299,627,30
300,555,27
