ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,LISTA_NOMINAL_CASILLA,RAC,JAMK,AMLO,JHRC,CANDNOREG,VOTOS_NULOS,TOTAL_VOTOS,estrato,Nh,nh,fexp
1,AGUASCALIENTES,1,JESÚS MARÍA,375,1,B,0,Urbana,630,100,55,136,24,5,22,342,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,350,3,C,0,Rural,622,87,86,161,9,3,14,360,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,446,1,B,0,Rural,738,97,84,171,12,1,16,381,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,431,1,B,0,Urbana,393,79,32,129,18,0,5,263,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,412,3,C,0,Rural,697,151,79,81,29,0,13,353,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,397,2,C,0,Urbana,722,123,94,130,23,0,6,376,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,346,2,C,0,Rural,602,77,85,192,17,0,10,381,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,416,1,C,0,Rural,621,100,84,187,21,0,10,402,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,486,3,C,0,Rural,564,99,72,143,11,0,5,330,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,388,1,B,0,Rural,681,109,73,192,13,4,7,398,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,451,1,B,0,Rural,640,137,61,56,17,0,12,283,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,418,1,C,0,Rural,554,75,79,158,17,0,12,341,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,383,2,C,0,Rural,623,143,46,112,10,1,13,325,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,372,1,B,0,Rural,536,151,18,80,19,0,12,280,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,449,1,B,0,Rural,717,120,99,143,12,0,14,388,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,476,4,C,0,Rural,671,62,101,139,21,0,7,330,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,478,6,C,0,Rural,712,72,89,133,34,0,8,336,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,440,7,C,0,Rural,684,82,67,223,29,0,10,411,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,388,2,C,0,Rural,680,133,74,190,21,0,10,428,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,410,1,C,0,Rural,544,142,74,83,20,0,9,328,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,395,2,C,0,Urbana,523,91,83,90,27,0,7,298,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,476,3,C,0,Rural,671,68,96,127,16,0,6,313,1,488,23,21.2173913043478
1,AGUASCALIENTES,1,JESÚS MARÍA,381,1,B,0,Rural,534,134,60,78,11,0,7,290,1,488,23,21.2173913043478
1,AGUASCALIENTES,2,AGUASCALIENTES,114,1,B,0,Urbana,437,99,53,115,31,1,8,307,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,156,7,C,0,Urbana,679,80,62,155,43,0,14,354,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,597,1,C,0,Urbana,643,66,71,130,24,1,8,300,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,549,1,C,0,Urbana,672,87,58,208,55,0,11,419,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,506,1,C,0,Urbana,410,65,50,99,25,0,5,244,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,602,1,C,0,Urbana,554,48,40,144,26,0,3,261,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,83,10,C,0,Rural,746,75,86,145,2,0,4,312,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,83,5,C,0,Rural,747,75,66,152,24,0,5,322,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,490,1,B,0,Urbana,709,86,61,198,29,0,8,382,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,119,5,C,0,Urbana,701,168,57,217,39,0,13,494,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,140,1,C,0,Urbana,448,107,51,113,28,0,11,310,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,86,1,E,6,Urbana,677,98,42,178,28,1,5,352,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,143,1,C,0,Urbana,428,84,47,132,15,0,9,287,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,134,1,B,0,Urbana,412,70,43,147,28,0,7,295,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,526,1,C,0,Urbana,405,61,43,123,34,0,5,266,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,578,1,B,0,Urbana,412,56,41,109,22,0,10,238,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,533,1,B,0,Urbana,451,46,66,139,24,0,7,282,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,607,1,B,0,Urbana,720,109,67,247,40,0,9,472,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,129,1,B,0,Urbana,479,65,56,189,27,2,14,353,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,80,3,C,0,Rural,726,144,56,178,35,0,11,424,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,155,6,C,0,Urbana,657,82,72,159,41,0,7,361,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,572,1,C,0,Urbana,716,87,42,227,39,0,8,403,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,152,2,C,0,Urbana,707,106,76,165,35,1,17,400,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,601,2,C,0,Urbana,610,67,53,128,25,0,8,281,2,524,25,20.96
1,AGUASCALIENTES,2,AGUASCALIENTES,122,1,C,0,Urbana,533,83,54,156,29,0,11,333,2,524,25,20.96
1,AGUASCALIENTES,3,AGUASCALIENTES,161,4,C,0,Urbana,698,186,58,196,39,0,4,483,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,197,1,B,0,Urbana,402,122,38,80,29,0,5,274,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,256,1,C,0,Urbana,517,104,51,96,14,0,5,270,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,322,4,C,0,Rural,711,161,77,151,32,0,8,429,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,229,1,B,0,Urbana,378,76,47,114,19,0,9,265,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,333,1,S,0,Rural,0,270,57,55,63,1,8,454,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,267,1,B,0,Urbana,636,104,62,147,28,2,6,349,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,222,1,B,0,Urbana,692,272,52,115,42,1,8,490,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,79,1,C,0,Urbana,388,91,46,93,17,0,3,250,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,223,1,B,0,Urbana,719,175,53,191,45,1,8,473,3,586,28,20.9285714285714
1,AGUASCALIENTES,3,AGUASCALIENTES,214,1,B,0,Urbana,476,199,54,85,22,0,8,368,3,586,28,20.9285714285714
