Identif_hog;Identif_2010;Fexp_cen2010;Provincia;Dominio;Ciudad_Auto;Área;sexo;edad;etnia;instruccion;perceptor;numpers;ing_cor_per;dec_nac_per;d1;d10;VI15;NV05
010150001002011;010150001002;53,3074668671632;1;93;3;1;1;39;6;4;2;5;167,734666666667;5;200,61;100;1;2
010150001002021;010150001002;53,3074668671632;1;93;3;1;1;52;6;4;2;4;436,57;9;283,47;64,17;1;2
010150001002031;010150001002;53,3074668671632;1;93;3;1;1;77;6;3;2;2;85,125;2;70,69; ;1;1
010150001002041;010150001002;53,3074668671632;1;93;3;1;2;48;6;3;2;4;268,208333333333;7;187,72; ;1;1
010150001002051;010150001002;53,3074668671632;1;93;3;1;2;27;6;5;2;4;329,73;8;151,25;160;1;2
010150001002061;010150001002;53,3074668671632;1;93;3;1;1;80;6;1;2;2;117,3075;3;57,87; ;2;1
010150001002071;010150001002;53,3074668671632;1;93;3;1;1;37;6;3;1;4;147,2;4;156,11; ;3;2
010150001002081;010150001002;53,3074668671632;1;93;3;1;1;36;6;3;2;2;167,65;5;135,5; ;1;1
010150001002091;010150001002;53,3074668671632;1;93;3;1;1;51;6;3;3;5;272,531333333333;7;102,29; ;2;2
010150001002101;010150001002;53,3074668671632;1;93;3;1;1;31;6;3;1;4;424,001666666667;9;305,51;110;2;2
010150001002111;010150001002;53,3074668671632;1;93;3;1;2;54;6;4;3;4;249,584166666667;7;153,67; ;2;1
010150001002121;010150001002;53,3074668671632;1;93;3;1;1;64;6;3;3;6;590,992777777778;10;268,89;172,5;1;1
010150001012011;010150001012;53,3074668671632;1;93;3;1;2;76;6;1;1;1;261;7;51,52; ;1;1
010150001012021;010150001012;53,3074668671632;1;93;3;1;1;65;6;3;1;2;159,261666666667;5;70,4; ;2;1
010150001012031;010150001012;53,3074668671632;1;93;3;1;1;42;6;3;2;2;243,4;7;180,8; ;1;1
010150001012041;010150001012;53,3074668671632;1;93;3;1;1;39;6;4;1;4;408,290833333333;9;155,45;48,75;1;2
010150001012051;010150001012;53,3074668671632;1;93;3;1;1;16;6;3;2;3;123,28;3;112,86; ;1;1
010150001012061;010150001012;53,3074668671632;1;93;3;1;1;47;6;3;3;5;182,236666666667;5;192,74; ;2;1
010150001012071;010150001012;53,3074668671632;1;93;3;1;1;46;6;3;2;7;67,3015476190476;1;61,07; ;2;1
010150001012081;010150001012;53,3074668671632;1;93;3;1;1;59;6;3;2;2;214,795;6;84,1; ;1;1
010150001012091;010150001012;53,3074668671632;1;93;3;1;1;47;6;4;2;3;295,86;8;261,4; ;1;1
010150001012101;010150001012;53,3074668671632;1;93;3;1;1;70;6;3;3;4;259,955833333333;7;673,67;15;1;1
010150001012111;010150001012;53,3074668671632;1;93;3;1;1;41;6;3;2;5;107,232666666667;3;134,65; ;2;1
010150001012121;010150001012;53,3074668671632;1;93;3;1;1;43;6;4;2;4;685,803333333333;10;448,52;116,33;2;2
010150002002011;010150002002;53,3074668671632;1;93;3;1;2;93;6;1;2;3;37,4033333333333;1;65,36; ;1;1
010150002002021;010150002002;53,3074668671632;1;93;3;1;1;61;6;3;4;4;179,429166666667;5;103,55; ;1;1
010150002002031;010150002002;53,3074668671632;1;93;3;1;1;38;6;3;2;3;151,680833333333;4;95,23; ;1;2
010150002002041;010150002002;53,3074668671632;1;93;3;1;1;32;6;2;2;5;144,877666666667;4;42,21; ;5;2
010150002002051;010150002002;53,3074668671632;1;93;3;1;1;35;6;4;2;5;177,267333333333;5;140,11; ;1;2
010150002002061;010150002002;53,3074668671632;1;93;3;1;2;44;6;4;1;6;249,082222222222;7;208,84;199,59;1;2
010150002002071;010150002002;53,3074668671632;1;93;3;1;2;26;6;3;3;7;179,404761904762;5;159,12;278,5;1;2
010150002002081;010150002002;53,3074668671632;1;93;3;1;1;73;6;3;4;6;182,770833333333;5;67,14; ;1;2
010150002002091;010150002002;53,3074668671632;1;93;3;1;1;28;6;3;2;4;159,575;5;97,69;21,67;5;1
010150002002101;010150002002;53,3074668671632;1;93;3;1;2;39;6;4;1;3;231,16;7;110,35; ;1;1
010150002002111;010150002002;53,3074668671632;1;93;3;1;1;44;6;3;6;8;218,945833333333;6;169,22; ;1;2
010150002002121;010150002002;53,3074668671632;1;93;3;1;1;71;6;3;3;4;142,119791666667;4;214,12; ;1;1
010150002002122;010150002002;53,3074668671632;1;93;3;1;1;38;6;5;2;3;134,01;4;157,74; ;1;1
010150002003011;010150002003;53,3074668671632;1;93;3;1;2;64;6;3;4;5;189,202;6;166,24; ;2;2
010150002003021;010150002003;53,3074668671632;1;93;3;1;1;24;6;3;2;4;192,1525;6;95,09; ;5;2
010150002003031;010150002003;53,3074668671632;1;93;3;1;1;27;6;4;2;4;135,6225;4;54,08; ;2;2
010150002003041;010150002003;53,3074668671632;1;93;3;1;1;31;6;3;2;3;252,393333333333;7;207,18; ;2;2
010150002003051;010150002003;53,3074668671632;1;93;3;1;1;48;6;4;2;5;509,920333333333;9;84,45;,83;1;2
010150002003061;010150002003;53,3074668671632;1;93;3;1;1;30;6;3;1;4;90,415;2;84,13; ;5;1
010150002003071;010150002003;53,3074668671632;1;93;3;1;1;33;6;3;1;5;137,184;4;141,79; ;2;2
010150002003081;010150002003;53,3074668671632;1;93;3;1;2;69;6;3;3;5;235,126666666667;7;160,03;65;2;1
010150002003091;010150002003;53,3074668671632;1;93;3;1;1;54;6;3;4;6;160,583333333333;5;371,16; ;2;1
010150002003101;010150002003;53,3074668671632;1;93;3;1;1;51;6;3;3;7;71,1428571428571;1;210,09; ;2;2
010150002003111;010150002003;53,3074668671632;1;93;3;1;2;44;6;3;2;3;469,4825;9;247,02; ;2;2
010150002003121;010150002003;53,3074668671632;1;93;3;1;1;37;6;4;2;4;296,600833333333;8;105,42; ;1;1
010150002010011;010150002010;53,3074668671632;1;93;3;1;1;42;6;4;1;6;216,765;6;290,31; ;1;2
010150002010021;010150002010;53,3074668671632;1;93;3;1;1;55;6;5;3;5;534,210666666667;9;401,65;83,47;1;2
010150002010031;010150002010;53,3074668671632;1;93;3;1;2;45;6;3;3;5;74,1666666666667;1;73,2; ;1;1
010150002010032;010150002010;53,3074668671632;1;93;3;1;2;44;6;3;2;3;239,28;7;196,28; ;1;1
010150002010041;010150002010;53,3074668671632;1;93;3;1;1;56;6;5;2;3;678,155555555555;10;184,75; ;1;2
010150002010051;010150002010;53,3074668671632;1;93;3;1;1;55;6;5;1;4;223,115;6;194,93;77,67;1;2
010150002010061;010150002010;53,3074668671632;1;93;3;1;1;29;6;5;2;3;484,083333333333;9;83,14; ;1;2
010150002010071;010150002010;53,3074668671632;1;93;3;1;1;39;6;4;2;5;212,878833333333;6;252,34; ;1;2
010150002010081;010150002010;53,3074668671632;1;93;3;1;1;49;6;5;2;3;1485,94222222222;10;227,57;166,67;1;2
010150002010091;010150002010;53,3074668671632;1;93;3;1;1;65;6;3;3;4;261,479583333333;7;77,99;90;1;1
010150002010101;010150002010;53,3074668671632;1;93;3;1;1;29;6;5;2;2;1035,71;10;193,63;100;1;2
010150002010111;010150002010;53,3074668671632;1;93;3;1;2;27;6;5;1;2;535,8;9; ;130;1;1
010150002010121;010150002010;53,3074668671632;1;93;3;1;1;47;6;5;3;5;325,354;8;167,16;113,33;1;2
010150003003011;010150003003;53,3074668671632;1;93;3;1;2;44;6;1;1;2;229,585;7;162,3; ;1;1
010150003003021;010150003003;53,3074668671632;1;93;3;1;2;46;6;1;2;3;181,765555555556;5;78,82; ;2;1
010150003003031;010150003003;53,3074668671632;1;93;3;1;1;46;6;3;2;4;234,399166666667;7;330,1; ;1;1
010150003003041;010150003003;53,3074668671632;1;93;3;1;1;50;6;3;4;7;124,286428571429;3;175,12;70;2;1
010150003003051;010150003003;53,3074668671632;1;93;3;1;1;46;6;4;4;8;186,238333333333;6;232,55; ;2;1
010150003003061;010150003003;53,3074668671632;1;93;3;1;1;42;6;3;5;9;129,048888888889;4;417,62; ;2;1
010150003003071;010150003003;53,3074668671632;1;93;3;1;2;62;6;4;2;3;354,778888888889;8;29,53;73,33;1;1
010150003003081;010150003003;53,3074668671632;1;93;3;1;1;53;6;3;3;4;184,254166666667;5;69,07;23,75;2;1
010150003003091;010150003003;53,3074668671632;1;93;3;1;1;62;6;2;4;6;108,526944444444;3;161,39; ;2;1
010150003003101;010150003003;53,3074668671632;1;93;3;1;2;86;6;3;1;3;173,394722222222;5;88,04; ;2;1
010150003003111;010150003003;53,3074668671632;1;93;3;1;2;50;6;3;2;3;137,223888888889;4;205,7; ;1;1
010150003003121;010150003003;53,3074668671632;1;93;3;1;2;36;6;4;2;4;218,94;6;142,7;116,83;2;2
010150003004011;010150003004;53,3074668671632;1;93;3;1;1;23;6;4;2;8;83,625;2;150,88; ;2;1
010150003004021;010150003004;53,3074668671632;1;93;3;1;1;40;6;5;1;7;54,1190476190476;1;107,04;11,67;2;1
