Entidad,Satisfacción con la vida,Gini del ingreso disponible de los hogares per cápita,Ingreso equivalente disponible de los hogares,Tasa de pobreza,Tasa de pobreza extrema,Contaminación del aire,Habitaciones por persona,Porcentaje de viviendas con techos de materiales resistentes,Empleados trabajando muchas horas,Satisfacción con tiempo para ocio,Hogares con acceso a banda ancha,Viviendas con acceso a servicios básicos,Acceso a servicios de salud,Esperanza de vida al nacer,Tasa de mortalidad infantil,Tasa de mortalidad materna,Tasa de obesidad,Salud autorreportada,Niveles de educación,Deserción escolar,Habilidades de los estudiantes,Tasa de homicidios,Confianza en la policía,Percepción de la inseguridad,Tasa de incidencia delictiva,Participación cívica y política,Participación electoral,Confianza en la aplicación de la ley,Percepción de ausencia de corrupción en el sistema judicial,Tasa de ocupación,Tasa de desempleo,Tasa de informalidad laboral,Tasa de condiciones críticas de ocupación
Nacional,8,0.503,"6,692",46.2,9.5,11.5,1,71.6,27.51,7.8,33.7,87.65,81.8,74.95,13,38.2,32.4,8.2,40,12.9,413,19.5,48.1,44.1,"41,655",5.74,63.1,5.05,28.8,57.2,4.89,57.84,11.7
Aguascalientes,7.7,0.486,"7,642",34.8,2.1,9.1,1,94.9,34.24,7.3,37.92,97.94,87.5,75.85,9.4,25.7,31,8,42.4,12.1,437,3.9,66.3,35.1,"39,453",8.41,60.7,5.6,37.8,56.59,5.83,45.46,8.4
Baja California,8.3,0.434,"8,682",28.6,3.1,6.8,1.1,49.5,27.54,8,51.46,89.73,80.6,74.01,14.3,42.3,39.5,8.5,42.5,19.3,415,22.8,53.5,41.5,"56,632",4.07,53.8,4.05,26.4,59.07,5.65,39.55,6.4
Baja California Sur,8.3,0.454,"8,279",30.3,3.9,6.1,1,74.8,24.77,8,43.85,89.95,85.8,76.04,11.2,32.1,43.6,8.4,46.4,11.7,414,6.8,48.9,38.4,"34,700",2.98,58.8,5.44,34.3,64.04,4.94,41.05,7.1
Campeche,7.8,0.5,"7,361",43.6,11.1,4.2,0.8,52.7,29.14,7.6,27.1,84.08,87.5,75.25,14.7,65.4,43.3,7.9,40.2,15,396,8.1,47.2,36.2,"29,306",11.15,67.3,8.12,31.1,59.91,3.21,60.86,14.7
Coahuila de Zaragoza,8,0.503,"8,069",30.2,3.7,8.4,1.1,77.8,24.17,7.8,34.56,95.61,84.4,75.72,11.9,27,37.1,8.2,44.5,19.1,418,27.6,54.7,33.9,"18,318",6.49,61.9,7.62,47.4,58.89,5.25,36.81,7.3
Colima,7.8,0.457,"7,703",34.3,3.4,9.4,1,70.8,26.37,7.6,45.16,98.38,87.3,75.91,10.8,22.5,36.7,8.1,41.7,10.8,429,32.5,60,32.8,"30,535",12.97,64.3,8.76,36.4,64.18,4.41,54.26,7.6
Chiapas,7.9,0.517,"3,683",76.2,31.8,6.9,0.7,29.8,25.71,7.9,9.47,70.69,79.3,72.81,13.6,54.8,25.6,8.1,26.9,17.2,373,9.6,49.1,32,"19,160",10.77,67.3,13.96,32.8,52.41,3.35,78.99,31.5
Chihuahua,8.3,0.458,"6,576",34.4,5.4,6.2,1.1,56.3,19.72,8.3,42.89,93.22,85.4,72.94,15,59.8,32.8,8.4,38.1,17.2,428,58.8,43.4,28.1,"24,295",3.2,53.2,5.09,32.7,56.73,3.18,38.36,4.9
Distrito Federal,8.4,0.507,"10,922",28.4,1.7,15.1,1.2,90.6,29.99,8,53.02,98.86,80.1,76.09,12.8,41.9,34,8.5,57.6,12.1,428,12.5,30.8,48.5,"59,545",3.25,67.2,0.91,13.6,58.08,6.84,50.01,10.3
