folio,cve_ent,tipo,edad,sexo,promedio,ingresos,trabaja,ingles,calif,mate,esp
1,09,2,19,1,71,9161,0,4,58,73,50
2,09,2,19,2,36,36305,0,4,60,47,56
3,09,2,20,2,22,13040,0,5,75,73,69
4,09,2,20,1,44,15300,0,4,57,67,56
5,09,2,21,2,80,10027,0,3,41,40,44
6,09,2,20,1,46,33339,1,5,61,33,63
7,15,2,20,1,52,4493,0,4,45,40,31
8,05,2,19,2,56,8738,0,4,53,67,44
9,05,2,21,2,34,47162,0,3,45,20,31
10,09,2,20,2,45,9430,1,5,51,27,50
11,09,2,20,1,45,36999,0,2,52,40,50
12,09,2,17,2,48,13226,0,2,42,40,44
13,09,2,18,2,57,4371,0,3,59,60,44
14,09,2,21,1,68,28351,0,4,51,40,44
15,21,2,20,2,38,8653,0,3,46,44,50
16,21,2,21,2,53,37299,0,4,49,44,31
17,21,2,19,1,52,16424,0,2,27,31,19
18,09,2,19,1,55,13779,0,4,55,69,56
19,15,2,20,2,36,18242,1,4,48,38,50
20,15,2,20,1,48,3200,1,2,38,13,31
21,15,1,19,2,48,3057,0,2,44,31,31
22,05,3,20,1,44,4001,0,3,58,63,31
23,21,2,20,2,57,14099,0,5,57,50,63
24,21,2,21,1,35,9056,0,3,42,44,31
25,13,2,22,1,56,1796,0,2,45,63,38
26,09,2,21,1,46,44035,0,4,73,88,81
27,15,2,21,1,67,15769,0,3,38,44,44
28,15,2,21,1,66,6855,0,1,42,50,38
29,25,2,20,1,40,18634,0,4,53,38,50
30,15,1,19,2,59,3955,0,1,22,19,27
31,15,1,21,2,43,1423,0,2,38,38,33
32,28,2,21,1,22,1745,0,1,22,31,33
33,09,2,20,2,62,31167,0,5,53,63,53
34,27,1,20,1,75,2622,1,2,28,6,33
35,27,1,18,2,44,3709,0,3,26,13,20
36,27,1,19,2,34,3467,0,2,36,13,33
37,09,1,21,2,63,5881,0,1,37,38,33
38,09,1,20,1,44,1507,0,3,47,63,53
39,11,2,19,2,64,26678,0,3,48,63,33
40,11,2,21,2,48,9663,0,4,51,56,73
41,23,1,20,2,32,1578,0,2,37,38,20
42,23,1,17,1,50,4735,1,3,41,19,40
43,17,2,21,1,71,17079,0,4,54,31,53
44,24,1,19,2,44,4607,1,2,38,31,47
45,24,1,20,1,61,6493,0,3,33,25,27
46,24,3,19,1,42,6015,0,2,48,50,47
47,24,2,19,1,55,14626,0,3,64,75,67
48,05,2,19,1,49,3180,0,2,34,19,33
49,05,1,20,1,48,3477,1,2,26,31,13
50,05,2,20,1,75,12868,0,2,28,44,40
51,21,2,21,2,70,19741,0,3,58,69,60
52,21,2,21,1,43,48151,1,3,58,50,67
53,21,2,20,2,62,14348,1,2,59,75,80
54,09,2,20,2,42,23566,0,5,41,31,53
55,20,2,19,2,39,9431,0,2,51,69,40
56,20,2,19,2,55,11479,0,2,60,50,67
57,20,2,20,2,43,11027,0,3,51,56,60
58,09,2,20,1,41,13608,0,4,50,56,47
59,15,2,21,2,35,11584,0,1,41,38,33
60,15,1,19,2,37,5391,1,2,46,44,47
61,15,2,19,1,51,39753,1,1,25,13,27
62,15,2,21,1,62,7200,1,3,29,25,13
63,21,2,19,1,57,10646,1,4,53,56,60
64,21,2,17,2,56,9224,0,5,65,81,53
65,09,2,20,2,37,12148,0,5,57,56,33
66,09,2,20,1,49,27725,0,4,65,69,60
67,09,2,20,2,51,35459,0,4,64,75,47
68,09,2,19,1,46,35790,0,5,47,50,60
69,09,2,18,2,41,34301,0,4,60,63,60
70,09,2,20,1,57,49747,0,5,62,63,60
71,09,2,18,1,58,18066,0,4,40,44,33
