folio,p1_anio,edad_retro,sincony,cohorte,sex,estrato
1,1984,6,SO,3,2,3
1,1985,7,SO,3,2,3
1,1986,8,SO,3,2,3
1,1987,9,SO,3,2,3
1,1988,10,SO,3,2,3
1,1989,11,SO,3,2,3
1,1990,12,SO,3,2,3
1,1991,13,SO,3,2,3
1,1992,14,SO,3,2,3
1,1993,15,SO,3,2,3
1,1994,16,U1,3,2,3
1,1995,17,U1,3,2,3
1,1996,18,U1,3,2,3
1,1997,19,U1,3,2,3
1,1998,20,U1,3,2,3
1,1999,21,U1,3,2,3
1,2000,22,U1,3,2,3
1,2001,23,U1,3,2,3
1,2002,24,U1,3,2,3
1,2003,25,U1,3,2,3
1,2004,26,U1,3,2,3
1,2005,27,U1,3,2,3
1,2006,28,U1,3,2,3
1,2007,29,U1,3,2,3
1,2008,30,U1,3,2,3
1,2009,31,U1,3,2,3
1,2010,32,U1,3,2,3
1,2011,33,U1,3,2,3
5,1984,6,SO,3,1,3
5,1985,7,SO,3,1,3
5,1986,8,SO,3,1,3
5,1987,9,SO,3,1,3
5,1988,10,SO,3,1,3
5,1989,11,SO,3,1,3
5,1990,12,SO,3,1,3
5,1991,13,SO,3,1,3
5,1992,14,SO,3,1,3
5,1993,15,SO,3,1,3
5,1994,16,SO,3,1,3
5,1995,17,SO,3,1,3
5,1996,18,SO,3,1,3
5,1997,19,SO,3,1,3
5,1998,20,SO,3,1,3
5,1999,21,SO,3,1,3
5,2000,22,SO,3,1,3
5,2001,23,U1,3,1,3
5,2002,24,U1,3,1,3
5,2003,25,U1,3,1,3
5,2004,26,U1,3,1,3
5,2005,27,U1,3,1,3
5,2006,28,U1,3,1,3
5,2007,29,U1,3,1,3
5,2008,30,U1,3,1,3
5,2009,31,U1,3,1,3
5,2010,32,U1,3,1,3
5,2011,33,U1,3,1,3
27,1959,6,SO,1,1,1
27,1960,7,SO,1,1,1
27,1961,8,SO,1,1,1
27,1962,9,SO,1,1,1
27,1963,10,SO,1,1,1
27,1964,11,SO,1,1,1
27,1965,12,SO,1,1,1
27,1966,13,SO,1,1,1
27,1967,14,SO,1,1,1
27,1968,15,SO,1,1,1
27,1969,16,SO,1,1,1
27,1970,17,SO,1,1,1
27,1971,18,SO,1,1,1
27,1972,19,SO,1,1,1
27,1973,20,SO,1,1,1
27,1974,21,SO,1,1,1
27,1975,22,U1,1,1,1
27,1976,23,U1,1,1,1
